|R|,Mean,Std,L,N
13792,1.57884,0.0189,0.07894,1
26336,1.4042,0.0061,0.07021,1
39648,1.37726,0.00425,0.06886,1
52192,1.37305,0.00426,0.06865,1
64992,1.3512,0.00317,0.06756,1
78048,1.3478,0.00427,0.06739,1
90080,1.34528,0.00525,0.06726,1
104416,1.33907,0.00473,0.06695,1
