|R|,Mean,Std,L,N
16832,1.46013,0.00633,0.07301,1
29376,1.38593,0.00471,0.0693,1
42688,1.35454,0.00358,0.06773,1
55232,1.35346,0.00373,0.06767,1
68032,1.33558,0.00283,0.06678,1
81088,1.33498,0.00305,0.06675,1
93120,1.33402,0.00261,0.0667,1
107456,1.32966,0.00278,0.06648,1
