|R|,Mean,Std,L,N
10432,1.685,0.015,0.084,1
36288,1.493,0.007,0.075,1
63168,1.44,0.005,0.072,1
89152,1.416,0.005,0.071,1
115392,1.407,0.007,0.07,1
141760,1.395,0.008,0.07,1
168128,1.389,0.009,0.069,1
194752,1.395,0.013,0.07,1
220608,1.401,0.014,0.07,1
246848,1.404,0.016,0.07,1
