|R|,Mean,Std,L,N
10432,2.113,0.051,0.106,4
36288,1.573,0.013,0.079,1
63168,1.51,0.01,0.075,1
89152,1.479,0.011,0.074,1
115392,1.477,0.013,0.074,1
141760,1.482,0.018,0.074,1
168128,1.479,0.018,0.074,1
194752,1.501,0.02,0.075,2
220608,1.516,0.022,0.076,2
246848,1.531,0.021,0.077,2
