|R|,Mean,Std,L,N
10432,3.1,0.145,0.155,14
36288,2.414,0.031,0.121,2
63168,2.128,0.016,0.106,1
89152,2.107,0.016,0.105,1
115392,2.101,0.012,0.105,1
141760,2.052,0.015,0.103,1
168128,2.046,0.015,0.102,1
194752,2.055,0.011,0.103,1
220608,2.053,0.013,0.103,1
246848,2.055,0.011,0.103,1
