|R|,Mean,Std,L,N
10432,2.514,0.039,0.126,2
36288,1.968,0.015,0.098,1
63168,1.864,0.016,0.093,1
89152,1.876,0.024,0.094,2
115392,1.885,0.023,0.094,1
141760,1.901,0.027,0.095,2
168128,1.893,0.024,0.095,2
194752,1.925,0.025,0.096,2
220608,1.955,0.023,0.098,1
246848,1.946,0.023,0.097,1
