|R|,Mean,Std,L,N
10432,2.738,0.032,0.137,1
36288,2.351,0.023,0.118,1
63168,2.205,0.025,0.11,1
89152,2.165,0.022,0.108,1
115392,2.143,0.023,0.107,1
141760,2.113,0.02,0.106,1
168128,2.087,0.016,0.104,1
194752,2.077,0.018,0.104,1
220608,2.068,0.016,0.103,1
246848,2.072,0.015,0.104,1
