|R|,Mean,Std,L,N
10432,2.342,0.028,0.117,1
36288,1.977,0.018,0.099,1
63168,1.868,0.018,0.093,1
89152,1.834,0.019,0.092,1
115392,1.814,0.02,0.091,1
141760,1.803,0.02,0.09,1
168128,1.798,0.024,0.09,2
194752,1.807,0.025,0.09,2
220608,1.801,0.021,0.09,1
246848,1.802,0.022,0.09,1
