Ray generation,MARF query,Surface reconstruction
50,100,150,200,250,300,350,400,450,500
0.02006409939931473,0.0492131816004985,1.4369819134022692
0.07721155300096143,0.10398349660245003,3.4425597565990755
0.13815004420175683,0.1964802633985528,1.6233544596005232
0.23845491819956804,0.13758289759862236,1.383897221002553
0.36407709039922337,0.24225153360021068,1.5061010036006337
0.528271370800212,0.2554026144003728,1.489711828601139
0.704498101399804,0.3506202713979292,2.5197734696019323
0.9504858132015215,0.42873594999982745,3.489354227601143
1.1738937729998724,0.4672426879988052,3.639361254002142
1.456350872000621,0.5375802771974122,3.8316691608022664
