Ray generation,MARF query,Surface reconstruction
50,100,150,200,250,300,350,400,450,500
0.0028858000001491745,0.006141116599974339,0.0033052539996788256
0.004437482400135195,0.014269052000054216,0.035889862399744746
0.004489116599870613,0.02472056939986942,0.12573132320030708
0.005695537800056627,0.04045797500002664,0.21048859260026803
0.008145058599984623,0.06395183800013911,0.40021308160030455
0.008182088800276687,0.1110078515997884,0.9779400423998595
0.007464199000060035,0.16170230459993035,1.7168893031999688
0.017590181800187565,0.35322669659999517,2.7262169295998318
0.023892335399978037,0.385019569600081,4.034409658999903
0.035530973200002335,0.5087961310000537,5.582637087200237
