Broad scan,Targeted scan,Surface reconstruction
100,200,300,400,500,600,700,800,900,1000
0.026235898998493212,0.02084703100081242,0.4717210319995502
0.023241431999849738,0.015453246000106446,0.5646817870001541
0.029792592000376317,0.028350831000352628,0.8419262269999308
0.021424510998258484,0.043420036001407425,0.9511131259987451
0.021333723998395726,0.07329574000141292,1.2733707079987653
0.02313405000131752,0.2792126999993343,2.059338615999877
0.03203854200000933,0.29503943599956983,2.5500037020010495
0.03343024700006936,0.2948228380009823,2.376549223999973
0.028047638001226005,0.3859439480002038,2.278259580998565
0.03324278299987782,0.3702185839993035,2.64510823099954
