Broad scan,Targeted scan,Surface reconstruction
100,200,300,400,500,600,700,800,900,1000
0.020821807000174886,0.006565159001183929,0.4595163189987943
0.024662776000695885,0.022618815999521757,0.5624575950005237
0.022423678999984986,0.041460717999143526,0.9635516930011363
0.03046939200066845,0.041612158000134514,1.0920141110000259
0.021100955000292743,0.06685262799874181,1.2707159900000988
0.033818446998338914,0.17421841300165397,2.1156074209993676
0.04376442600005248,0.3978455409996968,2.5129212720003125
0.04007195499980298,0.29860293099955015,3.0162656440006685
0.037266257999363006,0.3738039390009362,3.337268707999101
0.034980373000507825,0.4695440699997562,2.8559712219994253
