Broad scan,Targeted scan,Surface reconstruction
100,200,300,400,500,600,700,800,900,1000
0.02138098599971272,0.006713516000672826,0.43785885400029656
0.03136529299990798,0.01595042599910812,0.5544474960006482
0.027979292999589234,0.036787892000575084,0.941110204999859
0.02183505500033789,0.04216251399884641,1.0797546670000884
0.022233866999158636,0.07345594400067057,1.5866190220003773
0.036375538000356755,0.25096371799918415,2.5434133800008567
0.036508915000013076,0.2633413340008701,2.5575164900001255
0.03813143500156002,0.41298937699866656,2.9911903030006215
0.033923121000043466,0.4215719599997101,3.1855966080001963
0.0343004189999192,0.4270227540000633,3.4739861210000527
