Ray generation,MARF query,Surface reconstruction
50,100,150,200,250,300,350,400,450,500
0.0053113824003958145,0.008497239998541772,0.45317854760069165
0.00762478839897085,0.06036525420204271,0.6121148473990615
0.004998074202740099,0.10970635019912152,0.8148317375991609
0.006552990799536929,0.16745576340035767,1.329677678400185
0.006211565200646874,0.1251859613985289,1.4353688852017512
0.006350229799863882,0.11155601979990024,1.5570535331993596
0.01188832579937298,0.2911765831988305,2.509341205202509
0.018712130999483635,0.3568918037999538,3.5016137291982887
0.021858908000285737,0.40718301159940895,3.6138712354004383
0.016732305198092944,0.42747494320356055,3.7274846219967004
