Ray generation,MARF query,Surface reconstruction
50,100,150,200,250,300,350,400,450,500
0.021871437000004334,0.013712252799999191,0.6146505327999989
0.06373089939999943,0.10812653720000184,0.7649349513999993
0.028803005200001053,0.08397272119999855,1.1360880254000023
0.03199163559999363,0.14529147500000192,1.3599474114000003
0.020181634200002917,0.15113729879998913,1.484497145400013
0.0281570792000025,0.2621020959999953,2.091908303599996
0.040794741199994176,0.34891991440000536,3.165041433999994
0.04087178079999489,0.397754314000008,3.621739009400005
0.035027051599990956,0.40750523520000004,3.7155705928000033
0.036936845800005356,0.43390887679999535,3.797496512199996
