Ray generation,MARF query,Surface reconstruction
100,200,300,400,500,600,700,800,900,1000
0.0151412569994136,0.0062842179995641345,0.46870322300128464
0.060002382000675425,0.014317502000267268,0.5342688769997039
0.13301145400146197,0.03051637099997606,0.8288876709993929
0.231904049998775,0.039409576000252855,0.893416894999973
0.3539855369999714,0.061406283000906114,1.1151431149992277
0.5208141030016122,0.2511753709986806,3.0879796560002433
0.6917286000007152,0.3067957339990244,2.4239462290006486
0.9478742129995226,0.4403493959998741,2.662376383001174
1.1595251569997345,0.39993607200085535,2.605126983999071
1.431747307000478,0.4191582620005647,2.6063154359999317
