Ray generation,MARF query,Surface reconstruction
50,100,150,200,250,300,350,400,450,500
0.01887422380004864,0.01604937259999133,0.4784425812000336
0.035845687000073664,0.06637472120000894,0.7835246278000341
0.030784504799885325,0.10309902120006882,1.2843437589999667
0.02949976700001571,0.15408482260008896,1.9045998105999389
0.056011461399975815,0.27401461440003916,2.6255618526000033
0.06003994119992058,0.3234130620000542,3.313890187999914
0.05321206560001883,0.3708639148001566,3.7037165355999604
0.03923617780001223,0.3816328493999208,3.780809615600083
0.05077971000000616,0.407174440199924,4.111723705400072
0.04877316920001249,0.4394758393999837,4.059807897399969
