Ray generation,MARF query,Surface reconstruction
50,100,150,200,250,300,350,400,450,500
0.003593626599831623,0.006893782000406645,0.0032743173998824203
0.0034126712002034766,0.013843997399999353,0.019789736400161927
0.0043820559996675,0.025109565400089195,0.08297409820024768
0.00555701159992168,0.04092621520012472,0.1486085422000542
0.005919420600002922,0.06275116999968304,0.24589280640011565
0.006230656400111912,0.08867453379989457,0.40372864459986885
0.0064776123997944525,0.10951282879996142,0.597821859800024
0.012352931199893646,0.14486829800025589,0.9102317149996452
0.014214667600026588,0.17332204620033737,1.2315830649997224
0.009198537399970518,0.281164102799994,1.7289238134000697
