distributed,8,16,32,linear
5
5822,12926,25166,41822,63422,90110,120350
9822,16094,22750,29022,35422,41950,47966
16222,28766,42078,54622,67422,80478,92510
29022,54110,80734,105822,131422,157534,181598
43422,160238,368238,643422,1003422,1453038,1941086
0.016711675249880167,0.014607305253750695,0.014057371035680628,0.01388256241839851,0.013541175779668183,0.01347808676330247,0.013621862366492918
0.015745451745631904,0.014430784155596153,0.014183831625065195,0.014034125472864735,0.013706618589589478,0.01355494860842849,0.01375131953478454
0.015073140653800646,0.013946009637598735,0.013803406459504786,0.013775623990324757,0.013498205877842312,0.013555923431338043,0.0135210460529367
0.014430308756690232,0.013723005292716412,0.013774965685304402,0.013718787183447372,0.013443005741234807,0.013552524951496971,0.013580851261492381
0.01419341997760859,0.014044387658935524,0.013859327293442665,0.014520591485033624,0.01399581843682623,0.014300907410334556,0.014378576960730003
