distributed,8,16,32,linear
5
5822,12926,25166,41822,63422,90110,120350
9822,16094,22750,29022,35422,41950,47966
16222,28766,42078,54622,67422,80478,92510
29022,54110,80734,105822,131422,157534,181598
43422,160238,368238,643422,1003422,1453038,1941086
0.01903772635835963,0.016738972243369052,0.015943105404372524,0.015268766011513162,0.01502378144557007,0.014790514993486046,0.014479162206933995
0.017643649733331948,0.016432775290035506,0.015894359258588488,0.015646623683112867,0.015247372734631354,0.01518814792803944,0.015091184378473402
0.01675481323964647,0.015855089647024537,0.01540592937267439,0.015102149250066567,0.015006170005326702,0.014784029313563814,0.014742766268499241
0.016272431894995616,0.015524782995300647,0.015174891195444023,0.014819576038598403,0.014832092961349456,0.014878665387433331,0.01452941205638301
0.016207004566911345,0.015678795770186712,0.01526490440403458,0.016349958151827673,0.016830412299928682,0.018949932345194834,0.018797327352153503
