baseline,baseline_device,prescan_cone,candidate_sphere
4
0.45507882540114225,0.7940177937998669,1.1162758032005513,1.7392864727997221,2.0866681911997147,2.4229013838004905,3.702258356999664,4.8250972038003965,5.240833853402,5.649933153000893
0.5065018596011214,0.7177437949998421,0.9648440112010576,1.4108525243995245,1.5666426595984375,1.621761515000253,2.850855084399518,3.933270321400778,3.991085730798659,4.196276915000635
0.557958583200525,0.7173229049993097,1.0585777187996428,1.5084998142017867,1.5452107441975387,2.2204075947985986,3.440694704600901,3.975010476600437,4.145958603400504,4.589057568396674
0.6076364936001483,0.9836046567987069,1.4336614412008202,2.1246057787997414,2.9621503112008214,3.6089496892003807,4.0768223379986015,4.224211212400405,4.186962157400558,4.639867521599808
0.020904805222713253,0.01526640599737745,0.014011186977458494,0.01352396999148115,0.013284317274871458,0.013167113473338422,0.013176175555437495,0.013130830520917226,0.013083793396551597,0.013104445530119527
0.020927609021392145,0.015236562236666312,0.014006611525271459,0.01353162089950792,0.01327199450380893,0.013141891955146989,0.01318050367827441,0.013143807032341765,0.013114974566153468,0.013102569763499234
0.021282272802674647,0.015155644148310532,0.013895628689696982,0.013447456876516837,0.013240873070116238,0.013170715631977126,0.013156283452984818,0.01310534181901224,0.013075271352262127,0.013107843699997197
0.021286810452544595,0.015379031479200828,0.014291158698996675,0.013928052148902258,0.013532605312078514,0.013578414741154607,0.013589859849301587,0.013449923086154239,0.013642918443563953,0.013748053825999283
2450,9702,22650,39800,62250,90300,120756,162812,201152,249500
2450,9702,22650,39800,62250,90300,120756,162812,201152,249500
5872,13124,26072,43222,65672,93722,124178,166234,204574,252922
2640,9744,21984,38640,60240,86928,117168,161840,201392,248240
